#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 22 13 50 312  8.1 10.1  2.02 16.00  6.55 299 1018.0  12.9  13.7 999.0 99.0 99.00
2010 02 22 14 50 323  8.2  9.9  2.21 16.00  7.13 272 1018.5  12.7  13.7 999.0 99.0 99.00
2010 02 22 15 50 316  7.9 10.7  2.30 16.00  6.96 289 1019.3  12.3  13.7 999.0 99.0 99.00
2010 02 22 16 50 338  7.9  9.3  2.64 14.81  7.41 311 1020.0  12.9  13.7 999.0 99.0 99.00
2010 02 22 17 50  12  6.6  7.8  2.50 14.81  7.57 306 1020.4  12.6  13.7 999.0 99.0 99.00
2010 02 22 18 50  38  4.4  5.4  2.69 14.81  8.11 291 1020.6  12.7  13.8 999.0 99.0 99.00
2010 02 22 19 50  11  2.1  2.9  2.39 12.12  8.28 283 1020.7  13.0  13.9 999.0 99.0 99.00
2010 02 22 20 50 306  3.4  4.6  2.51 17.39  8.58 272 1020.3  13.0  14.0 999.0 99.0 99.00
2010 02 22 21 50 297  4.8  6.4  2.72 13.79  9.00 289 1019.9  13.2  14.1 999.0 99.0 99.00
2010 02 22 22 50 295  7.0  8.1  2.70 12.90  9.17 285 1019.8  13.4  14.1 999.0 99.0 99.00
2010 02 22 23 50 314  7.4  8.6  2.58 14.81  8.71 286 1019.7  13.6  14.0 999.0 99.0 99.00
2010 02 23 00 50 327  8.1  9.5  2.47 12.90  7.98 284 1019.9  13.4  14.0 999.0 99.0 99.00
2010 02 23 01 50 335  7.5  9.1  2.58 17.39  7.97 291 1020.1  13.2  13.9 999.0 99.0 99.00
2010 02 23 02 50 330  6.8  8.0  2.55 13.79  7.98 281 1020.5  13.1  13.9 999.0 99.0 99.00
2010 02 23 03 50 335  6.6  7.9  2.40 11.43  7.80 286 1021.0  13.3  13.9 999.0 99.0 99.00
2010 02 23 04 50 351  6.5  7.5  2.63 12.90  8.40 285 1021.5  13.4  13.8 999.0 99.0 99.00
