#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 07 06 50 220  1.1  1.9  1.97 17.39 11.80 307 1018.9  12.0  11.9 999.0 99.0 99.00
2011 01 07 07 50 238  0.4  0.9  2.37 17.39 12.95 294 1018.4  11.9  11.9 999.0 99.0 99.00
2011 01 07 08 50 135  0.5  1.6  2.83 17.39 14.37 296 1017.9  11.3  11.9 999.0 99.0 99.00
2011 01 07 09 50  65  3.1  4.5  2.10 17.39 12.37 293 1017.9  11.5  11.9 999.0 99.0 99.00
2011 01 07 10 50  89  1.1  2.4  2.06 16.00 12.31 293 1017.8  11.9  11.9 999.0 99.0 99.00
2011 01 07 11 50  12  0.2  1.0  2.28 17.39 12.50 309 1017.3  11.8  11.9 999.0 99.0 99.00
2011 01 07 12 50  60  2.3  3.1  2.51 17.39 13.03 301 1017.3  11.9  11.9 999.0 99.0 99.00
2011 01 07 13 50 272  1.9  3.1  2.63 16.00 12.99 311 1016.8  12.2  11.8 999.0 99.0 99.00
2011 01 07 14 50 279  2.4  3.7  2.59 16.00 12.55 314 1016.8  12.0  11.8 999.0 99.0 99.00
2011 01 07 15 50 351  4.9  6.2  2.24 16.00 11.63 301 1017.3  12.3  11.9 999.0 99.0 99.00
2011 01 07 16 50 340  1.7  2.6  2.52 16.00 12.11 312 1018.0  12.4  11.9 999.0 99.0 99.00
2011 01 07 17 50 357  2.1  2.9  2.55 14.81 11.05 309 1018.6  12.7  11.9 999.0 99.0 99.00
2011 01 07 18 50 313  2.8  4.3  2.89 16.00 11.66 298 1018.3  12.6  12.0 999.0 99.0 99.00
2011 01 07 19 50 311  4.8  6.2  2.16 14.81  9.78 310 1017.3  12.3  12.0 999.0 99.0 99.00
2011 01 07 20 50 319  5.9  7.3  2.19 16.00  9.40 300 1016.7  12.1  12.1 999.0 99.0 99.00
2011 01 07 21 50 319  7.0  8.3  2.36 16.00  8.45 294 1016.7  11.8  12.1 999.0 99.0 99.00
2011 01 07 22 50 309  7.8  9.3  2.35 16.00  7.56 282 1016.7  11.8  12.0 999.0 99.0 99.00
2011 01 07 23 50 315  8.2 10.6  2.39 16.00  7.13 299 1016.7  11.5  12.0 999.0 99.0 99.00
2011 01 08 00 50 313  9.1 11.6  2.63 14.81  7.30 293 1016.5  11.0  12.0 999.0 99.0 99.00
2011 01 08 01 50 322  8.8 10.4  2.89 16.00  7.49 292 1016.6  10.9  12.0 999.0 99.0 99.00
2011 01 08 02 50 321  7.8  9.8  3.05 16.00  7.69 305 1016.8  10.8  11.9 999.0 99.0 99.00
2011 01 08 03 50 323  8.7 10.6  2.66 13.79  7.25 312 1016.8  11.0  11.9 999.0 99.0 99.00
2011 01 08 04 50 325  8.0  9.8  3.10 16.00  8.06 308 1016.7  11.0  11.9 999.0 99.0 99.00
2011 01 08 05 50 336  8.5 11.0  3.01 14.81  7.66 299 1016.8  11.0  11.9 999.0 99.0 99.00
2011 01 08 06 50 328  8.1  9.7  2.75 14.81  7.20 297 1016.9  11.0  11.8 999.0 99.0 99.00
2011 01 08 07 50 325  7.7 10.2  2.82 13.79  7.61 303 1016.8  11.1  11.8 999.0 99.0 99.00
2011 01 08 08 50 325  8.0  9.8  2.85 14.81  7.62 294 1016.6  11.3  11.8 999.0 99.0 99.00
2011 01 08 09 50 331  7.7  9.2  2.66 14.81  7.17 302 1016.8  11.4  11.8 999.0 99.0 99.00
2011 01 08 10 50 332  8.1 10.2  2.82 16.00  7.66 291 1016.8  11.4  11.8 999.0 99.0 99.00
2011 01 08 11 50 334  8.1  9.7  2.93 13.79  7.56 306 1016.7  11.4  11.8 999.0 99.0 99.00
2011 01 08 12 50 333  8.9 10.7  3.31 13.79  7.80 301 1016.4  11.3  11.8 999.0 99.0 99.00
2011 01 08 13 50 335  7.6  9.8  2.84 16.00  7.38 269 1016.7  11.2  11.8 999.0 99.0 99.00
2011 01 08 14 50 323  7.4  9.6  2.95 12.90  7.66 308 1017.0  11.0  11.8 999.0 99.0 99.00
2011 01 08 15 50 342  7.2  8.8  2.83 13.79  7.52 294 1016.8  10.7  11.8 999.0 99.0 99.00
2011 01 08 16 50   9  4.8  6.2  2.75 13.79  7.28 297 1017.4   9.7  11.8 999.0 99.0 99.00
2011 01 08 17 50   1  3.7  4.9  2.49 14.81  7.65 290 1017.6  10.0  11.9 999.0 99.0 99.00
2011 01 08 18 50 322  5.2  6.6  2.57 12.90  7.53 303 1017.5  10.4  11.9 999.0 99.0 99.00
2011 01 08 19 50 330  5.7  7.0  2.62 13.79  7.68 298 1016.6  10.2  11.9 999.0 99.0 99.00
2011 01 08 20 50 330  6.3  7.9  2.74 12.90  7.74 293 1015.9  10.6  11.9 999.0 99.0 99.00
2011 01 08 21 50 327  8.4 10.1  2.67 14.81  7.32 289 1015.3  11.2  11.9 999.0 99.0 99.00
2011 01 08 22 50 315  9.3 11.5  2.49 14.81  6.65 324 1015.3  11.4  11.9 999.0 99.0 99.00
2011 01 08 23 50 313  9.3 11.5  2.70 14.81  6.86 301 1015.2  11.6  11.9 999.0 99.0 99.00
2011 01 09 00 50 332  9.8 12.5  2.45 14.81  6.33 272 1015.0  11.3  11.9 999.0 99.0 99.00
2011 01 09 01 50 329 11.2 13.6  2.22 14.81  5.65 338 1015.4  11.1  11.9 999.0 99.0 99.00
2011 01 09 02 50 325 10.5 12.5  2.46 13.79  6.10 283 1015.4  11.5  11.9 999.0 99.0 99.00
2011 01 09 03 50 324  8.6 10.6  2.36 13.79  6.37 299 1015.4  11.6  12.0 999.0 99.0 99.00
2011 01 09 04 50 320  7.9  9.2  2.44 12.90  6.61 306 1015.1  11.5  12.0 999.0 99.0 99.00
2011 01 09 05 50 327  9.0 10.7  2.64 12.90  6.63 307 1015.2  11.5  12.0 999.0 99.0 99.00
2011 01 09 06 50 326  8.3 10.0  2.90 13.79  6.95 308 1015.7  11.5  12.1 999.0 99.0 99.00
2011 01 09 07 50 317  9.2 11.1  2.72 13.79  6.65 291 1015.7  11.4  12.1 999.0 99.0 99.00
